timestamp,vehicle_id,speed,throttle,brake,steering_angle,battery_soc,battery_voltage,battery_current,battery_temperature,motor_temperature,motor_rpm,motor_torque,cabin_temperature,ac_power,charging_status,latitude,longitude,driving_profile
2024-01-01 00:00:00.000,EV-0001,4.69,46.91,0.0,0.0,99.88,399.47,36.28,26.02,57.62,333.0,177.14,24.54,2.69,3,31.230228,121.473644,economy
2024-01-01 00:00:00.100,EV-0001,9.15,44.61,0.0,0.0,99.68,401.04,55.41,25.14,56.66,648.0,185.95,24.89,2.9,3,31.230308,121.473696,economy
2024-01-01 00:00:00.200,EV-0001,13.41,42.57,0.0,0.0,100.0,396.08,64.99,25.88,58.62,1017.0,138.61,24.81,2.27,3,31.230454,121.473548,economy
2024-01-01 00:00:00.300,EV-0001,18.28,48.71,0.0,0.0,100.0,401.78,65.35,24.69,58.59,1556.0,214.35,25.02,2.12,3,31.230548,121.473646,economy
2024-01-01 00:00:00.400,EV-0001,22.49,42.09,0.0,0.0,100.0,403.08,109.98,24.08,54.08,1834.0,167.14,25.67,2.32,3,31.230418,121.473784,economy
2024-01-01 00:00:00.500,EV-0001,26.41,39.21,0.0,0.0,100.0,402.32,76.99,25.51,54.38,2211.0,176.21,25.02,1.95,3,31.230577,121.473731,economy
2024-01-01 00:00:00.600,EV-0001,30.63,42.24,0.0,0.0,99.89,400.75,51.7,26.41,54.87,2551.0,135.49,24.73,1.65,3,31.230466,121.474018,economy
2024-01-01 00:00:00.700,EV-0001,35.21,45.8,0.0,0.0,100.0,397.7,83.61,24.09,59.63,3075.0,155.16,26.36,1.27,3,31.230421,121.473876,economy
2024-01-01 00:00:00.800,EV-0001,32.95,47.74,4.53,0.0,100.0,398.17,45.37,24.68,59.71,2827.0,166.34,25.95,2.27,3,31.230448,121.473775,economy
2024-01-01 00:00:00.900,EV-0001,38.03,50.83,0.0,0.0,100.0,400.69,70.78,25.85,62.61,3187.0,178.98,26.0,1.65,3,31.230393,121.473887,economy
2024-01-01 00:00:01.000,EV-0001,42.63,46.03,0.0,0.0,99.52,400.05,43.17,24.23,59.17,3545.0,190.94,25.79,2.85,3,31.230773,121.473829,economy
2024-01-01 00:00:01.100,EV-0001,44.92,22.83,0.0,0.0,99.97,399.71,38.39,25.72,47.66,3790.0,89.86,24.66,3.31,3,31.230417,121.473781,economy
2024-01-01 00:00:01.200,EV-0001,47.44,25.2,0.0,0.0,100.0,398.38,89.99,23.86,52.49,3989.0,112.02,25.98,1.93,3,31.230611,121.473784,economy
2024-01-01 00:00:01.300,EV-0001,47.53,18.77,0.0,0.0,100.0,400.01,78.54,25.65,46.22,3929.0,90.26,25.37,2.55,3,31.230526,121.473803,economy
2024-01-01 00:00:01.400,EV-0001,47.55,19.07,0.0,-8.93,99.76,403.0,44.23,24.29,46.6,3984.0,77.19,26.6,2.47,3,31.230603,121.47387,economy
2024-01-01 00:00:01.500,EV-0001,47.65,16.01,0.0,0.0,100.0,398.46,57.01,24.53,47.51,3905.0,99.35,24.93,3.43,3,31.230642,121.473918,economy
2024-01-01 00:00:01.600,EV-0001,49.51,18.61,0.0,0.0,99.68,399.37,54.59,21.79,45.27,4023.0,69.39,26.42,2.35,3,31.230417,121.473879,economy
2024-01-01 00:00:01.700,EV-0001,49.54,21.49,0.0,0.0,99.92,399.56,65.76,25.12,46.46,4195.0,117.68,26.7,2.87,3,31.230375,121.473948,economy
2024-01-01 00:00:01.800,EV-0001,49.59,18.84,0.0,-6.23,100.0,399.07,25.5,25.85,49.7,4168.0,61.5,25.83,2.72,3,31.230517,121.474004,economy
2024-01-01 00:00:01.900,EV-0001,49.65,15.87,0.0,0.0,99.01,397.06,82.06,24.9,48.38,4116.0,85.46,26.12,1.37,3,31.230591,121.474021,economy
2024-01-01 00:00:02.000,EV-0001,49.69,20.85,0.0,0.0,99.77,398.66,87.97,25.62,46.73,4059.0,125.25,25.14,2.8,3,31.230677,121.474007,economy
2024-01-01 00:00:02.100,EV-0001,49.72,17.97,0.0,0.0,99.74,401.48,41.15,24.46,48.1,4061.0,76.75,25.53,1.49,3,31.230666,121.474039,economy
2024-01-01 00:00:02.200,EV-0001,49.81,16.57,0.0,0.0,99.56,402.5,38.12,26.52,47.03,4236.0,63.08,25.32,1.43,3,31.230552,121.473959,economy
2024-01-01 00:00:02.300,EV-0001,49.9,20.31,0.0,0.0,99.16,397.89,84.36,25.1,48.63,4168.0,65.78,26.1,2.43,3,31.230587,121.474162,economy
2024-01-01 00:00:02.400,EV-0001,49.99,23.45,0.0,-1.11,100.0,397.09,49.13,22.88,50.16,4113.0,78.62,26.06,1.8,3,31.230828,121.474045,economy
2024-01-01 00:00:02.500,EV-0001,50.08,14.04,0.0,0.0,100.0,399.85,75.81,23.29,48.59,4308.0,53.87,25.13,1.57,3,31.23059,121.474026,economy
2024-01-01 00:00:02.600,EV-0001,50.14,18.02,0.0,0.0,99.9,399.32,21.76,25.13,45.48,4230.0,86.31,25.2,1.67,3,31.230788,121.474036,economy
2024-01-01 00:00:02.700,EV-0001,52.67,25.28,0.0,0.0,99.9,402.0,55.87,25.66,52.02,4526.0,81.82,26.53,1.83,3,31.230494,121.474113,economy
2024-01-01 00:00:02.800,EV-0001,52.67,22.51,0.0,0.0,99.9,401.91,90.28,23.31,49.5,4384.0,97.72,25.0,2.77,3,31.230671,121.474024,economy
2024-01-01 00:00:02.900,EV-0001,52.68,19.1,0.0,0.0,99.39,401.19,55.53,24.08,46.63,4440.0,65.79,26.02,1.61,3,31.230586,121.474054,economy
2024-01-01 00:00:03.000,EV-0001,52.62,15.9,0.0,0.0,99.96,401.68,68.69,24.47,42.36,4328.0,58.1,25.35,2.32,3,31.230837,121.474145,economy
2024-01-01 00:00:03.100,EV-0001,52.61,27.24,0.0,0.0,100.0,403.05,19.98,24.24,49.35,4242.0,96.03,26.98,2.48,3,31.230798,121.473985,economy
2024-01-01 00:00:03.200,EV-0001,52.62,22.57,0.0,0.0,100.0,399.22,45.1,25.93,50.79,4576.0,62.31,25.85,1.62,3,31.230671,121.474001,economy
2024-01-01 00:00:03.300,EV-0001,52.63,18.15,0.0,0.0,99.42,400.49,81.08,24.48,45.96,4461.0,82.62,26.26,2.27,3,31.230805,121.474189,economy
2024-01-01 00:00:03.400,EV-0001,52.62,15.71,0.0,0.0,98.93,398.55,63.57,25.75,44.54,4219.0,61.52,25.92,1.9,3,31.230745,121.474048,economy
2024-01-01 00:00:03.500,EV-0001,52.67,19.59,0.0,0.0,100.0,396.46,75.45,25.37,48.22,4329.0,80.09,26.86,1.22,3,31.230775,121.474061,economy
2024-01-01 00:00:03.600,EV-0001,52.71,19.18,0.0,0.0,99.61,395.39,86.24,26.24,46.38,4352.0,35.96,25.38,2.88,3,31.230725,121.473974,economy
2024-01-01 00:00:03.700,EV-0001,52.74,20.49,0.0,0.0,98.71,397.59,89.26,23.65,48.11,4509.0,88.73,26.66,2.79,3,31.230997,121.474095,economy
2024-01-01 00:00:03.800,EV-0001,52.78,20.49,0.0,-8.56,100.0,400.8,92.98,24.49,48.07,4371.0,62.38,26.57,1.49,3,31.230876,121.474253,economy
2024-01-01 00:00:03.900,EV-0001,52.85,21.03,0.0,0.0,99.28,398.61,66.72,26.57,49.75,4469.0,83.01,25.85,2.26,3,31.23077,121.474173,economy
2024-01-01 00:00:04.000,EV-0001,52.93,19.77,0.0,0.0,99.93,397.69,82.33,24.5,48.82,4312.0,76.56,26.99,2.08,3,31.230741,121.474167,economy
2024-01-01 00:00:04.100,EV-0001,49.6,16.25,6.67,0.0,100.0,400.15,63.48,24.18,45.07,3983.0,59.79,26.4,1.43,3,31.23054,121.474187,economy
2024-01-01 00:00:04.200,EV-0001,49.69,20.09,0.0,0.0,99.66,397.62,35.13,25.19,47.31,4073.0,83.35,26.85,2.74,3,31.230763,121.474149,economy
2024-01-01 00:00:04.300,EV-0001,49.78,16.37,0.0,-2.55,100.0,394.7,64.96,23.82,46.9,4169.0,71.28,26.47,1.6,3,31.230883,121.474105,economy
2024-01-01 00:00:04.400,EV-0001,43.19,26.57,13.18,-7.73,99.43,398.26,65.07,25.55,51.03,3477.0,120.54,26.39,2.53,3,31.230863,121.474253,economy
2024-01-01 00:00:04.500,EV-0001,47.19,39.91,0.0,0.0,99.94,397.47,42.87,24.19,58.38,4064.0,124.58,25.9,2.05,3,31.230642,121.47441,economy
2024-01-01 00:00:04.600,EV-0001,49.77,25.8,0.0,0.0,99.75,402.08,80.32,26.37,49.99,4363.0,116.65,26.43,2.74,3,31.230862,121.474287,economy
2024-01-01 00:00:04.700,EV-0001,40.62,15.67,18.29,0.0,98.95,400.58,73.54,25.58,50.54,3411.0,82.33,27.18,1.2,3,31.230854,121.474345,economy
2024-01-01 00:00:04.800,EV-0001,44.08,34.55,0.0,0.0,99.86,398.42,29.48,24.22,55.93,3807.0,120.52,25.83,2.2,3,31.230929,121.474294,economy
2024-01-01 00:00:04.900,EV-0001,47.26,31.81,0.0,0.0,99.47,399.98,42.89,26.04,54.06,3903.0,132.09,26.57,2.02,3,31.230827,121.474469,economy
2024-01-01 00:00:05.000,EV-0001,49.91,26.56,0.0,0.0,100.0,396.86,38.46,24.77,53.26,4266.0,108.63,27.07,2.2,3,31.230983,121.474346,economy
